Date Time,Identifier,Message
09:11:05:341,F0:F8:F2:DA:2D:0D,"CCI: Channel=5, RSSI=-69"
09:11:05:386,F0:F8:F2:DA:06:D9,"CCI: Channel=5, RSSI=-65"
09:11:05:490,F0:F8:F2:DA:06:D9,"CCI: Channel=20, RSSI=-66"
09:11:05:511,F0:F8:F2:DA:2D:0D,"CCI: Channel=20, RSSI=-69"
09:11:05:654,F0:F8:F2:DA:2D:0D,"AoA: Angle=-4, Ant=2, Channel=13, RSSI=-69"
09:11:06:167,F0:F8:F2:DA:2D:0D,"AoA: Angle=-9, Ant=2, Channel=36, RSSI=-69"
09:11:06:656,F0:F8:F2:DA:06:D9,"CCI: Channel=15, RSSI=-63"
09:11:06:704,F0:F8:F2:DA:2D:0D,"CCI: Channel=15, RSSI=-71"
09:11:06:727,F0:F8:F2:DA:2D:0D,"AoA: Angle=-9, Ant=2, Channel=15, RSSI=-71"
09:11:06:771,F0:F8:F2:DA:2D:0D,"CCI: Channel=30, RSSI=-69"
09:11:06:788,F0:F8:F2:DA:06:D9,"CCI: Channel=30, RSSI=-62"
09:11:07:520,F0:F8:F2:DA:2D:0D,"AoA: Angle=-18, Ant=1, Channel=23, RSSI=-68"
09:11:07:610,F0:F8:F2:DA:2D:0D,"CCI: Channel=1, RSSI=-69"
09:11:07:830,F0:F8:F2:DA:06:D9,"CCI: Channel=1, RSSI=-66"
09:11:07:474,F0:F8:F2:DA:2D:0D,"AoA: Angle=-12, Ant=1, Channel=9, RSSI=-68"
09:11:07:832,F0:F8:F2:DA:06:D9,"CCI: Channel=10, RSSI=-63"
09:11:07:887,F0:F8:F2:DA:2D:0D,"CCI: Channel=10, RSSI=-68"
09:11:07:900,F0:F8:F2:DA:2D:0D,"AoA: Angle=-15, Ant=2, Channel=10, RSSI=-68"
09:11:08:000,F0:F8:F2:DA:2D:0D,"CCI: Channel=25, RSSI=-68"
09:11:08:453,F0:F8:F2:DA:2D:0D,"AoA: Angle=-12, Ant=1, Channel=11, RSSI=-69"
09:11:08:886,F0:F8:F2:DA:2D:0D,"AoA: Angle=-13, Ant=2, Channel=12, RSSI=-69"
09:11:09:520,F0:F8:F2:DA:06:D9,"CCI: Channel=5, RSSI=-65"
09:11:09:730,F0:F8:F2:DA:2D:0D,"CCI: Channel=5, RSSI=-68"
09:11:09:160,F0:F8:F2:DA:06:D9,"CCI: Channel=20, RSSI=-66"
09:11:09:184,F0:F8:F2:DA:2D:0D,"CCI: Channel=20, RSSI=-68"
09:11:09:386,F0:F8:F2:DA:2D:0D,"AoA: Angle=-16, Ant=2, Channel=35, RSSI=-69"
09:11:09:849,F0:F8:F2:DA:2D:0D,"AoA: Angle=-10, Ant=2, Channel=14, RSSI=-69"
09:11:10:262,F0:F8:F2:DA:2D:0D,"AoA: Angle=-15, Ant=1, Channel=22, RSSI=-68"
09:11:10:332,F0:F8:F2:DA:06:D9,"CCI: Channel=15, RSSI=-63"
09:11:10:382,F0:F8:F2:DA:2D:0D,"CCI: Channel=15, RSSI=-69"
09:11:10:432,F0:F8:F2:DA:06:D9,"CCI: Channel=30, RSSI=-62"
09:11:10:486,F0:F8:F2:DA:2D:0D,"CCI: Channel=30, RSSI=-71"
09:11:10:686,F0:F8:F2:DA:2D:0D,"AoA: Angle=-4, Ant=1, Channel=8, RSSI=-68"
09:11:10:738,F0:F8:F2:DA:06:D9,"CCI: Channel=1, RSSI=-66"
09:11:10:794,F0:F8:F2:DA:2D:0D,"CCI: Channel=1, RSSI=-71"
09:11:11:770,F0:F8:F2:DA:2D:0D,"AoA: Angle=-5, Ant=2, Channel=9, RSSI=-68"
09:11:11:568,F0:F8:F2:DA:2D:0D,"CCI: Channel=10, RSSI=-68"
09:11:11:596,F0:F8:F2:DA:06:D9,"CCI: Channel=10, RSSI=-63"
09:11:11:719,F0:F8:F2:DA:2D:0D,"CCI: Channel=25, RSSI=-68"
09:11:11:885,F0:F8:F2:DA:2D:0D,"AoA: Angle=1, Ant=2, Channel=18, RSSI=-71"
09:11:12:564,F0:F8:F2:DA:2D:0D,"AoA: Angle=-13, Ant=1, Channel=12, RSSI=-68"
09:11:12:753,F0:F8:F2:DA:2D:0D,"CCI: Channel=5, RSSI=-71"
09:11:12:769,F0:F8:F2:DA:06:D9,"CCI: Channel=5, RSSI=-66"
09:11:12:864,F0:F8:F2:DA:2D:0D,"CCI: Channel=20, RSSI=-71"
09:11:12:891,F0:F8:F2:DA:06:D9,"CCI: Channel=20, RSSI=-66"
09:11:12:993,F0:F8:F2:DA:2D:0D,"AoA: Angle=-12, Ant=2, Channel=20, RSSI=-71"
09:11:13:671,F0:F8:F2:DA:2D:0D,"AoA: Angle=-22, Ant=2, Channel=36, RSSI=-69"
09:11:14:320,F0:F8:F2:DA:06:D9,"CCI: Channel=15, RSSI=-64"
09:11:14:580,F0:F8:F2:DA:2D:0D,"CCI: Channel=15, RSSI=-71"
09:11:14:154,F0:F8:F2:DA:06:D9,"CCI: Channel=30, RSSI=-62"
09:11:14:195,F0:F8:F2:DA:2D:0D,"CCI: Channel=30, RSSI=-68"
09:11:14:208,F0:F8:F2:DA:2D:0D,"AoA: Angle=-22, Ant=1, Channel=30, RSSI=-68"
09:11:14:466,F0:F8:F2:DA:06:D9,"CCI: Channel=1, RSSI=-66"
09:11:14:519,F0:F8:F2:DA:2D:0D,"CCI: Channel=1, RSSI=-68"
09:11:14:585,F0:F8:F2:DA:2D:0D,"AoA: Angle=-22, Ant=2, Channel=1, RSSI=-68"
09:11:14:977,F0:F8:F2:DA:2D:0D,"AoA: Angle=-12, Ant=2, Channel=24, RSSI=-70"
09:11:15:248,F0:F8:F2:DA:2D:0D,"CCI: Channel=10, RSSI=-68"
09:11:15:294,F0:F8:F2:DA:06:D9,"CCI: Channel=10, RSSI=-63"
09:11:15:341,F0:F8:F2:DA:06:D9,"CCI: Channel=25, RSSI=-63"
09:11:15:346,F0:F8:F2:DA:2D:0D,"AoA: Angle=-4, Ant=2, Channel=10, RSSI=-68"
09:11:15:349,F0:F8:F2:DA:2D:0D,"CCI: Channel=25, RSSI=-68"
09:11:15:779,F0:F8:F2:DA:2D:0D,"AoA: Angle=-11, Ant=1, Channel=11, RSSI=-68"
09:11:16:199,F0:F8:F2:DA:2D:0D,"AoA: Angle=-11, Ant=1, Channel=34, RSSI=-69"
